,0
3,0.9999999999144314
4,0.9999999998562237
5,0.9999999997968546
6,0.999999999685967
7,0.9999999994607996
8,0.9999999981099938
9,0.999999999401332
10,0.9999999991041595
11,0.9999999991204798
12,0.9999999992247504
13,0.9999999984458643
14,0.9999999970675626
15,0.9999999972982309
17,0.9999999983009226
18,0.9999999909314328
19,0.999999990140817
20,0.9999999985448138
21,0.999999998839042
22,0.9999999892477996
23,0.9999999917741029
24,0.9999999867352447
26,0.9999999570597868
27,0.9999999972141165
28,0.99999999929112
29,0.9999999799956193
31,0.9999999959497019
32,0.9999999827705858
33,0.9999999900745445
34,0.9999998872885939
35,0.9999999855829924
36,0.9999999959810042
37,0.9999999954966291
38,0.9999999394440042
40,0.9999999826284679
42,0.9999999497232557
44,0.9999999634135305
45,0.9999999833903613
46,0.9999999900061609
47,0.9999997084903797
49,0.9999999656844315
51,0.9999999952730283
55,0.9999999591272495
58,0.9999999928747474
60,0.9999999965623094
61,0.9999999899204992
64,0.9999999652763104
66,0.9999999342210943
67,0.9999999966878823
70,0.9999999886420036
80,0.9999999911691821
83,0.9999999765747521
84,0.9999998492514551
92,0.9999999787185031
97,0.9999999718481631
103,0.9999996026095028
107,0.9999999789661801
111,0.9999999546140558
115,0.9999999779392762
116,0.9999999556519635
133,0.9999999586741759
142,0.9999998964393848
148,0.9999995238454107
156,0.9999999522976668
163,0.9999998838945607
176,0.999999796591665
203,0.9999999222592919
214,0.9999999334982299
258,0.9999995558578949
264,0.9999994890764647
269,0.9999956392211741
271,0.999995747684687
281,0.9999998116332192
296,0.9999991627225834
326,0.9999999668716089
559,0.9999920328748533
560,0.9999837084262279
643,0.9999968349892349
724,0.999997665451282
1120,0.9999906649702192
1412,0.9999741146556347
1900,0.9999490792683533
