,0
4,0.9999999998562237
7,0.9999999995779945
8,0.99999999989053
10,0.9999999997089617
13,0.9999999994376132
16,0.9999999990986527
17,0.9999999991672337
18,0.9999999993707754
19,0.9999999987404087
20,0.9999999985448125
21,0.999999999822321
22,0.9999999988334034
24,0.9999999966530605
25,0.9999999990886455
26,0.9999999910223156
29,0.9999999958797424
33,0.9999999949477882
37,0.9999999963972119
38,0.9999999924491503
45,0.99999999169999
48,0.9999999989749591
50,0.9999999920983125
54,0.9999999859606079
93,0.9999998572035116
100,0.9999999596522227
101,0.9999999596520772
